osm_id,highway,lanes,maxspeed,name,oneway,WKT
5499460871,nan,,,,,POINT (-77.0757758 -11.9520663)
5499460872,nan,,,,,POINT (-77.0737848 -11.9488226)
5499460873,nan,,,,,POINT (-77.0751815 -11.9490915)
5534727171,nan,,,,,POINT (-77.0732805 -11.9951111)
5534727172,nan,,,,,POINT (-77.06947 -11.9787187)
5534727173,nan,,,,,POINT (-77.0756189 -11.9674586)
5574930560,nan,,,,,POINT (-77.0777527 -11.9966552)
5583096117,nan,,,,,POINT (-77.0622575 -12.002485)
5588806854,nan,,,,,POINT (-77.0680481 -11.9779019)
5588932254,nan,,,,,POINT (-77.0666909 -11.9659043)
5588932258,nan,,,,,POINT (-77.0667451 -11.9656725)
5588999043,nan,,,,,POINT (-77.0703535 -11.9511514)
5588999046,nan,,,,,POINT (-77.0706855 -11.9506664)
5588999047,nan,,,,,POINT (-77.0706142 -11.951211)
5588999065,nan,,,,,POINT (-77.0689839 -11.9568884)
5605396262,nan,,,,,POINT (-77.0825258 -11.9453413)
5605507456,nan,,,,,POINT (-77.0689288 -12.0023704)
5605507457,nan,,,,,POINT (-77.0689818 -12.0020612)
5605507458,nan,,,,,POINT (-77.0714866 -12.0035807)
5605507459,nan,,,,,POINT (-77.0714805 -12.0039628)
5605507460,nan,,,,,POINT (-77.0738232 -12.0042091)
5605507461,nan,,,,,POINT (-77.0736148 -12.0035221)
5628066843,nan,,,,,POINT (-77.0694912 -11.9865283)
5628066896,nan,,,,,POINT (-77.0708337 -11.9864721)
5648599981,nan,,,,,POINT (-77.0777959 -11.9840571)
5933283018,nan,,,,,POINT (-77.0785358 -11.9788317)
6027834409,nan,,,,,POINT (-77.0854782 -11.9502363)
6027834413,nan,,,,,POINT (-77.0853035 -11.950231)
6027834414,nan,,,,,POINT (-77.0853011 -11.9503688)
6047098107,nan,,,,,POINT (-77.0671151 -11.9905921)
6047098110,nan,,,,,POINT (-77.0675665 -11.9907611)
6047098111,nan,,,,,POINT (-77.0796617 -11.9916686)
6047098112,nan,,,,,POINT (-77.0799119 -11.9915493)
6100968258,nan,,,,,POINT (-77.0731024 -11.9731077)
6100968259,nan,,,,,POINT (-77.0725664 -11.9730998)
6129102865,nan,,,,,POINT (-77.078756 -12.0063303)
6129102866,nan,,,,,POINT (-77.079177 -12.0063538)
6129102867,nan,,,,,POINT (-77.0804557 -12.0064323)
6129102868,nan,,,,,POINT (-77.0804439 -12.0065835)
6129369151,nan,,,,,POINT (-77.0763577 -11.9512819)
6129444573,nan,,,,,POINT (-77.0813692 -11.9769659)
6131098143,nan,,,,,POINT (-77.0811771 -11.9622825)
6277604489,nan,,,,,POINT (-77.0732641 -11.957177)
6277614523,nan,,,,,POINT (-77.074062 -11.9473227)
6277873574,nan,,,,,POINT (-77.0677602 -11.9563569)
6277873575,nan,,,,,POINT (-77.0677433 -11.9564938)
6290543727,nan,,,,,POINT (-77.0650757 -11.9903452)
6290588500,nan,,,,,POINT (-77.0634857 -11.961981)
6290588501,nan,,,,,POINT (-77.0634935 -11.9618374)
6290624656,nan,,,,,POINT (-77.070335 -12.0058122)
6290743662,nan,,,,,POINT (-77.0741793 -11.9252207)
